,TREFHT_global,TREFHT_abs,TREFHT_abs_std,TREFHT_RMS,TREFHT_RMS_std,TREFHT_mod,TREFHT_exa,TREFHTMX_global,TREFHTMX_abs,TREFHTMX_abs_std,TREFHTMX_RMS,TREFHTMX_RMS_std,TREFHTMX_mod,TREFHTMX_exa,P-E_global,P-E_abs,P-E_abs_std,P-E_RMS,P-E_RMS_std,P-E_mod,P-E_exa,PRECTMX_global,PRECTMX_abs,PRECTMX_abs_std,PRECTMX_RMS,PRECTMX_RMS_std,PRECTMX_mod,PRECTMX_exa,PRECT_global,PRECT_abs,PRECT_abs_std,PRECT_RMS,PRECT_RMS_std,PRECT_mod,PRECT_exa
0.0,4.037299986522533,5.261747586101352,7.529225286267972,5.597738210282672,7.7061357653357785,0.0,0.0,3.9381392028108633,5.422858822663084,4.010081343039079,5.963740181896753,4.5785304740806305,0.0,0.0,-0.02533232116031075,0.1990031813278178,0.5822722706555453,0.390361829990802,0.8571299903664114,0.0,0.0,33.385439740350385,29.824789626676008,0.8650997634798412,37.75742913704353,1.0264570989264779,0.0,0.0,0.23727075561763553,0.3781494439609714,1.212219143990598,0.5451244404721508,1.6174622270398276,0.0,0.0
0.01,3.997397834459215,5.207954353541376,7.451542637600584,5.541124846753001,7.62666447074977,0.0,0.0,3.8973084914466276,5.364046594415823,3.966821403319171,5.903242919996734,4.531116925265554,0.0,0.0,-0.024978200407773862,0.1971536516533096,0.5765470317198552,0.386998429083227,0.8483627222330611,0.0,0.0,33.000682078231264,29.494768554226393,0.8557295338974555,37.35392942366833,1.0156293331880586,0.0,0.0,0.23398257039974923,0.3743060389018101,1.1995747693785626,0.5397424839352383,1.600507371059567,0.0,0.0
0.02,3.957495678059166,5.15416111442963,7.37385996625964,5.484517686225903,7.547199704697297,0.0,0.0,3.8564777772432577,5.305234341606083,3.923561426027307,5.842778156573472,4.483712926725054,0.0,0.0,-0.024624078848136832,0.19531030610418829,0.570837425892178,0.38364494853744785,0.8396145064919952,0.0,0.0,32.61592438379388,29.16487388825437,0.8463609884926347,36.95074218410893,1.00480851550191,0.0,0.0,0.23069438679685692,0.37046673966833665,1.1869393882795545,0.5343712739715365,1.5835684002801027,0.0,0.0
0.03,3.91759352618043,5.100367871706932,7.296177304321521,5.427916921518739,7.467741721300838,0.05750299561223161,0.0,3.8156470760872385,5.24642213407495,3.8803015000471657,5.782346981463749,4.4363189146727064,0.0002178358788864964,0.0,-0.024269958393757306,0.19347517408795983,0.5651481782006859,0.3803016477058328,0.8308859464037421,0.0,0.0,32.23116671288063,28.835209360923216,0.8369958517019225,36.54787765503493,0.9939948771857372,0.0,0.0,0.22740620093530386,0.366631405742199,1.1743144101886396,0.5290111237031667,1.5666458267558625,0.0,0.0
0.04,3.8776913719372414,5.046574624974358,7.218494622058812,5.3713227539255834,7.388290695021179,0.44881526233495256,0.0,3.7748163506198367,5.187609887133928,3.837041530488693,5.721950377662092,4.388935088505425,0.04673020719768413,0.0,-0.023915836756649225,0.19164858077891064,0.5594811169259555,0.37696882091920875,0.8221776656042297,0.0,0.0,31.846408997232412,28.505622880994157,0.827632134868612,36.14534646281272,0.9831886485061341,0.0,0.0,0.22411801685557997,0.3628003323778636,1.161701006880815,0.5236623869910902,1.5497401942296216,0.0,0.0
0.05,3.8377892152386486,4.992781383843108,7.140811960855453,5.3147354039654395,7.308846910971048,0.7776257670458154,0.0,3.733985637495328,5.1287976562052116,3.793781584928281,5.6615894932769715,4.341561862365011,0.16194544876848574,0.0,-0.0235617158223888,0.1898303841420344,0.5538379486371343,0.37364672918410025,0.81349033458558,0.00033555007281359613,0.0,31.461651375482305,28.176166527459024,0.8182712019825468,35.7431601454692,0.9723900810772342,0.0,0.0,0.2208298324547428,0.35897498536658723,1.1490990000934103,0.5183254074752944,1.5328520608368266,0.0,0.0
0.06,3.7978870597554577,4.938988146839294,7.063129293790889,5.258155095243932,7.229410566662069,0.9442272630988768,0.0,3.6931549200788623,5.069985406214377,3.750521614252793,5.601265459684219,4.294199529579803,0.32954068897251837,0.0,-0.023207594767614158,0.18802462278860724,0.5482227644429433,0.3703356556171867,0.8048245952441277,0.0007232129625482666,0.0,31.076893729936547,27.84678243205039,0.8089117049808539,35.34133061149646,0.9615994348091158,0.0,0.0,0.21754164775066212,0.3551586043627326,1.1365156554666318,0.5130005592980874,1.515982011988687,8.460408463670387e-05,0.0
0.07,3.757984906077871,4.885194905058529,6.985446637973434,5.201582038856702,7.149981938465723,0.9845641448485553,0.0,3.6523242048876874,5.011173164132121,3.707261654435166,5.540979511798593,4.246848489040278,0.5046637991714005,0.0,-0.022853474138896778,0.1862321076957523,0.5426335139782156,0.3670359072332098,0.7961811777057136,0.0013207971107075359,0.0,30.692136039899218,27.517585739261953,0.7995553310095235,34.9398698070148,0.9508169724896932,0.0,0.0,0.214253462997288,0.3513484082579769,1.123946922393491,0.5076882086519235,1.4991306552770771,0.0006684692676623842,0.0
0.08,3.718082750347391,4.831401673595424,6.907763984496517,5.145016500192205,7.070561271830034,0.9945208814022151,0.0,3.611493509499773,4.952360961679011,3.6640017251760364,5.480732921078987,4.199509155768834,0.659081469477378,0.0,-0.022499352360733218,0.18444848935722438,0.5370668747681816,0.3637477900550197,0.7875608269805189,0.0026741717448786873,0.0,30.30737839733652,27.18846902171945,0.7902008529913656,34.53879058104885,0.9400429820337801,0.0,0.0,0.21096527843292062,0.3475451899920467,1.1113928011647194,0.5023887798115487,1.4822986374578024,0.002990529774060658,0.0
0.09,3.678180579681107,4.777608400746875,6.830081275597722,5.088458669034975,6.991148771916888,0.9982223673573889,0.0,3.570662782651563,4.893548711060593,3.620741767896057,5.420526918044527,4.152181867370587,0.7808021858645876,0.0,-0.02214523212006612,0.1826761010217846,0.5315269185905662,0.3604716121694576,0.7789642737942245,0.003909436161406792,0.0,29.922620514114623,26.85947952443879,0.780848636146501,34.138106444281476,0.929277748803755,0.0,0.0,0.20767709231898243,0.34375264548309054,1.098858626913448,0.49710266083762306,1.4654866069694503,0.012899025997432232,0.0
