,TREFHT,TREFHTMX,P-E,PRECTMX,PRECT
Full-GLENS,better: 100.00 worse: 0.00 dont_know: 0.00,better: 99.85 worse: 0.00 dont_know: 0.15,better: 36.31 worse: 9.13 dont_know: 54.56,better: 68.17 worse: 1.28 dont_know: 30.55,better: 58.06 worse: 11.11 dont_know: 30.83
Half-GLENS,better: 100.00 worse: 0.00 dont_know: 0.00,better: 100.00 worse: 0.00 dont_know: 0.00,better: 30.21 worse: 1.32 dont_know: 68.47,better: 59.42 worse: 0.01 dont_know: 40.57,better: 59.06 worse: 1.48 dont_know: 39.46
Perfect,better: 100.00 worse: 0.00 dont_know: 0.00,better: 100.00 worse: 0.00 dont_know: 0.00,better: 46.44 worse: 0.65 dont_know: 52.91,better: 75.12 worse: 0.21 dont_know: 24.67,better: 72.51 worse: 0.56 dont_know: 26.93
